id,loc,scale
53,92.35497348398422,24.347657859249026
347,232.9688067913161,175.3294698232844
105,107.63729628872487,23.240821628420136
10,50.17998197590336,21.406247828016927
330,264.61264401536334,147.11429128427164
100,79.3912248540813,19.84745170578461
25,63.70324257648666,16.012663205319498
102,358.7111647164377,120.83747676106071
219,330.59919605764304,155.97766781016378
272,258.45634933757066,135.32347189043838
47,206.5054956416799,44.166291087638896
11,89.52403380421133,28.404397471078504
136,173.85832401686957,63.70614996966164
276,545.2404612112616,189.3190977840555
615,601.2610781912493,268.0067378443679
15,165.76280599502508,61.8741432662253
159,265.8247618742605,102.1282357095906
368,885.4797698674431,383.19538996487705
543,544.738282664023,257.7903487347786
252,354.21416971265364,138.19546290791243
443,647.9913182200677,351.40516005322297
383,622.8191925973927,276.52853553618957
250,725.3925979363918,264.98101754523526
333,1646.1667255550356,672.5139074363304
337,804.3045897818721,295.45985551122004
212,1473.207730818609,812.3204085737896
234,583.383505518634,145.71976346514134
541,2977.8810811281155,1321.584881666989
461,2969.790483944672,960.4418743497986
381,2936.322910932806,629.9445423118367
253,2715.960461924717,720.4538750436942
177,2857.814760781276,713.898200115782
132,4606.968083746606,1619.672398088538
81,5486.727649720306,1817.4533613347974
42,5613.123110852308,1986.778777471438
1,4201.330972806925,932.483717973874
